,turnover
2019-12-20,1.0
2020-01-20,0.6000000000000001
2020-02-18,0.9000000000000001
2020-03-18,1.0
2020-04-16,0.8000000000000002
2020-05-15,0.8000000000000002
2020-06-15,0.8
2020-07-14,0.9000000000000001
2020-08-12,1.2000000000000002
2020-09-10,0.7000000000000002
2020-10-09,0.8000000000000002
2020-11-09,1.0000000000000002
2020-12-08,0.9000000000000001
2021-01-06,0.8
2021-02-04,0.7
2021-03-05,1.2000000000000002
2021-04-05,0.7
2021-05-04,0.6000000000000001
2021-06-02,0.8000000000000002
2021-07-01,1.0
2021-07-30,1.0
2021-08-30,1.2000000000000002
2021-09-28,0.8
2021-10-27,1.1
2021-11-25,1.0
2021-12-24,1.0
2022-01-24,1.3
2022-02-22,1.0
2022-03-23,1.1
2022-04-21,0.9000000000000001
2022-05-20,0.8
2022-06-20,0.6000000000000001
2022-07-19,1.0
2022-08-17,0.8
2022-09-15,1.0
2022-10-14,0.8
2022-11-14,0.8
2022-12-13,1.2
2023-01-11,1.2000000000000002
2023-02-09,0.9000000000000001
2023-03-10,1.1
2023-04-10,0.8
2023-05-09,0.9
2023-06-07,0.8
2023-07-06,1.1
2023-08-04,0.9000000000000001
2023-09-04,0.6
2023-10-03,1.1
